,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,OperationTime,Address
40,백종원의인생설렁탕-경희대점,11**님,"화끈불스지 SET（설렁탕＋불스지）/1(설렁탕 선택1(인생설렁탕),고기추가1(부채살（22g）),사이드(육쌈밀전))",만족합니다.아주맛 있어요!!감사합니다.,5,5,5,5,2021년 1월 3일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
41,백종원의인생설렁탕-경희대점,ha**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(스지설렁탕)),매콤밀전 SET（설렁탕＋육쌈밀전）/1(설렁탕 선택1(시래기된장설렁탕)),화끈불스지 SET（설렁탕＋불스지）/2(설렁탕 선택1(시래기된장설렁탕))",불스지 10개 정도 왔는데 맞나요?? 전에 1인분 시켰을때랑 양이 비슷한것 같아서요..,5,4,4,4,2021년 1월 2일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
42,백종원의인생설렁탕-경희대점,hy**님,매콤밀전 SET（설렁탕＋육쌈밀전）/1(설렁탕 선택1(인생설렁탕)),맛있어요♡강츄♡강츄,5,5,5,5,2021년 1월 1일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
43,백종원의인생설렁탕-경희대점,rk**님,"매콤밀전 SET（설렁탕＋육쌈밀전）/1(설렁탕 선택1(인생설렁탕)),비빔국수/1",존맛,5,5,5,5,2020년 12월 31일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
44,백종원의인생설렁탕-경희대점,j2**님,설렁탕1＋1/1,가성비 좋을듯해서 시켰지만 국물양이 적어서 좀 놀랬네요.... 역시 싼이유가 있었군요,3,3,2,3,2020년 12월 30일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
45,백종원의인생설렁탕-경희대점,gu**님,든든 만두 SET（설렁탕＋만두2ea）/2(설렁탕 선택1(스지설렁탕)),너무맛있어요 감사히 잘 먹었습니다!,5,5,5,5,2020년 12월 29일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
46,백종원의인생설렁탕-경희대점,ak**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕),고기추가1(차돌양지（22g）))",👍👍👍👍👍,5,5,5,4,2020년 12월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
47,백종원의인생설렁탕-경희대점,je**님,"매콤밀전 SET（설렁탕＋육쌈밀전）/1(설렁탕 선택1(인생설렁탕),사이드(불스지))",너무 맛있습니다 ㅠㅠ,5,5,5,5,2020년 12월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
48,백종원의인생설렁탕-경희대점,손님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕),사이드(육쌈밀전))",귝물이 조금 적은것 빼곤 다 좋았어요 ㅎㅎ 맛도있구 ㅎㅎ,5,5,5,5,2020년 12월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
49,백종원의인생설렁탕-경희대점,ce**님,든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),좋아요. 맛있어요.,5,5,5,5,2020년 12월 26일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
50,백종원의인생설렁탕-경희대점,ak**님,든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),삼삼이네요👍👍👍,5,5,5,5,2020년 12월 23일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
51,백종원의인생설렁탕-경희대점,wh**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕),음료(콜라))",배달 빠르고 맛있게 잘 먹었습니다.,4,4,4,4,2020년 12월 9일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
52,백종원의인생설렁탕-경희대점,wh**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕),음료(사이다))",배달 빠르고 맛있게 잘 먹겠습니다.,4,4,4,4,2020년 12월 9일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
53,백종원의인생설렁탕-경희대점,손님,설렁탕＋만두2ea/1(사이드 추가(칠성사이다（355ml）)),국물에서 고기냄새가 심합니다 먹다말았스버다 국물 많이 끓이세요 수고하십시요,2,1,1,2,2020년 12월 2일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
54,백종원의인생설렁탕-경희대점,mu**님,"스지설렁탕＋만두2ea/1,인생설렁탕/1",국ㅎㅎㅎㅎ머싯 ㅎㅎ,5,5,5,5,2020년 11월 29일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
